"ID","Symbol","Market","Name","MainSector","Sector","Industry","ListingDate","HomePage"
1033,"079940","KOSDAQ","가비아","IT","소프트웨어 개발 및 공급업","도메인,호스팅","2005-10-19","http://www.gabia.com"
1034,"036620","KOSDAQ","감성코퍼레이션","소재","기타 전문 도매업","고지유통, ERP시스템 운영","2000-01-11","http://www.virtualtek.co.kr"
1035,"039240","KOSDAQ","경남스틸","소재","1차 철강 제조업","냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등","2000-03-07","http://www.ksteel.co.kr"
1036,"011040","KOSDAQ","경동제약","건강관리","의약품 제조업","듀오로반정, 발디핀정, 아트로반정 등","1992-12-18","http://www.kdpharma.co.kr"
1037,"204620","KOSDAQ","글로벌텍스프리","금융","금융 지원 서비스업","환급창구운영사업","2014-11-19","http://global-taxfree.com"
1038,"168330","KOSDAQ","내츄럴엔도텍","건강관리","자연과학 및 공학 연구개발업","백수오 여성호르몬제, 백수오등복합추출물(원료)","2013-10-31","http://www.naturalendo.com"
1039,"253590","KOSDAQ","네오셈","IT","특수 목적용 기계 제조업","반도체 검사장비","2018-04-04","http://www.neosem.com"
1040,"042420","KOSDAQ","네오위즈홀딩스","커뮤니케이션서비스","소프트웨어 개발 및 공급업","지주사업","2000-06-27","http://www.neowiz.com"
1041,"153460","KOSDAQ","네이블커뮤니케이션즈","IT","소프트웨어 개발 및 공급업","유무선융합 인프라, 클라이언트 및 All-IP 통신보안","2012-07-19","http://www.nablecomm.com"
1042,"089140","KOSDAQ","넥스턴바이오","산업재","유리 및 유리제품 제조업","CNC자동선반","2006-11-01","http://www.nexturn.co.kr"
1043,"065170","KOSDAQ","넥스트BT","건강관리","음·식료품 및 담배 도매업","건강보조식품 등","2002-11-19","http://www.nextbt.co.kr"
1044,"085670","KOSDAQ","뉴프렉스","IT","전자부품 제조업","연성인쇄회로기판","2006-01-17","http://www.newflex.co.kr"
1045,"025440","KOSDAQ","대성엘텍","경기관련소비재","영상 및 음향기기 제조업","카멀티미디어 및 TFT-LCD 부품제조..","1995-05-22","http://www.dseltec.co.kr"
1046,"397500","KOSDAQ","대신밸런스제11호스팩","금융","금융 지원 서비스업","금융 지원 서비스업","2021-12-02","nan"
1047,"332290","KOSDAQ","대신밸런스제7호스팩","금융","금융 지원 서비스업","기업 인수 및 합병","2019-10-11","nan"
1048,"108380","KOSDAQ","대양전기공업","산업재","선박 및 보트 건조업","해상용 조명등기구, (함정용)전자시스템, 배전반류 등","2011-07-08","http://daeyang.co.kr"
1049,"317330","KOSDAQ","덕산테코피아","IT","기타 화학제품 제조업","OLED 소재, 반도체 소재","2019-08-02","http://dstp.co.kr"
1050,"099410","KOSDAQ","동방선기","산업재","선박 및 보트 건조업","조선기자재, 선박용 배관","2009-11-10","http://www.dongbangsm.co.kr"
1051,"005290","KOSDAQ","동진쎄미켐","IT","기초 화학물질 제조업","반도체,LCD용재료(감광제,봉지제),발포제","1999-12-21","http://www.dongjin.com"
1052,"187870","KOSDAQ","디바이스이엔지","IT","특수 목적용 기계 제조업","OLED용 FM MASK 세정장비","2017-12-20","http://www.deviceeng.co.kr"
1053,"263690","KOSDAQ","디알젬","건강관리","의료용 기기 제조업","진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외","2018-11-22","http://www.drgem.co.kr"
1054,"171010","KOSDAQ","램테크놀러지","IT","기초 화학물질 제조업","반도체 식각액, 박리액, 세정액 등","2013-11-18","http://www.ramtech.co.kr"
1055,"281740","KOSDAQ","레이크머티리얼즈","소재","기타 화학제품 제조업","LED, 반도체 소재 및 석유화학촉매","2017-12-12","http://www.lake-led.com"
1056,"277810","KOSDAQ","레인보우로보틱스","산업재","특수 목적용 기계 제조업","협동로봇, 천문마운트시스템, 이족보행로봇 등","2021-02-03","http://www.rainbow-robotics.com/new/index_ko.php"
1057,"067730","KOSDAQ","로지시스","IT","컴퓨터 프로그래밍, 시스템 통합 및 관리업","전산장비 판매 및 유지보수, VAN기기 대행관리","2015-07-29","http://www.logisys.co.kr"
1058,"038060","KOSDAQ","루멘스","IT","반도체 제조업","LED개발 및 제조","2006-08-08","http://www.lumens.co.kr"
